dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
NOTEARS,4,Logit,OF,m,0.11684966151306926,0.13398023863146732,0.8491732194131971,0.17118664832795633,0.332909220342993,0.569
NOTEARS,4,Logit,F,mw,0.0668455052596422,0.05807869267991354,0.7108213477080322,0.22690625400939318,0.4371750903873883,0.301
NOTEARS,4,Logit,OF,mw,0.11636436009687974,0.13343121200966263,0.849714515284331,0.1714622356385687,0.3334185022372932,0.62
NOTEARS,4,Logit,F,m+mw,0.07516414622670495,0.06273078571470726,0.7413078447447375,0.21765857156801555,0.4190801723497238,0.309
NOTEARS,4,Logit,OF,m+mw,0.11632560723907877,0.13701233264275064,0.8498620264630476,0.17114369741721003,0.3325228827375504,0.633
NOTEARS,4,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,18.724
NOTEARS,4,RandomForest,F,m,0.0,0.09529719879830438,0.7549727300039383,0.02161691458912469,0.009883609348954523,19.735
NOTEARS,4,RandomForest,OF,m,0.3263314465176766,0.47150712578445064,0.9191976397012072,0.015535832005463416,0.005250856276799681,20.728
NOTEARS,4,RandomForest,F,mw,0.0,0.0942645742377355,0.7567272651832095,0.02162522196607906,0.00972005766660039,21.23
NOTEARS,4,RandomForest,OF,mw,0.3172297990743499,0.47083596970737257,0.9218993060996592,0.015581346663498225,0.005860035398401617,32.565
NOTEARS,4,RandomForest,F,m+mw,0.0,0.09628444751074264,0.7678403922869295,0.0215388025280408,0.009284493121024206,30.066
NOTEARS,4,RandomForest,OF,m+mw,0.29919017641924767,0.45842527249823084,0.9130987437767558,0.015799745793997434,0.005536607083681909,36.96
NOTEARS,4,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,24.371
NOTEARS,4,XGBoost,F,m,0.00909090909090909,0.11930603179529486,0.7935814497748891,0.02100623687633699,0.006962720822602128,18.87
NOTEARS,4,XGBoost,OF,m,0.46390476855771645,0.5222175773941145,0.926580552169743,0.014649444427441528,0.008926981763984505,29.1
NOTEARS,4,XGBoost,F,mw,0.009307359307359308,0.11661528001755606,0.7951920327470552,0.02103143944057769,0.007226155079431281,23.502
NOTEARS,4,XGBoost,OF,mw,0.46484688678988373,0.5269987219742645,0.9266323565268451,0.01452698241785868,0.00908902050265436,25.851
NOTEARS,4,XGBoost,F,m+mw,0.008888888888888889,0.11549983775053599,0.7948654965224845,0.02109985506917369,0.00756071796466772,5.395
NOTEARS,4,XGBoost,OF,m+mw,0.45824175280485696,0.5183865813513491,0.9247155335441679,0.014704851853840403,0.009379074136642875,7.718
NOTEARS,4,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,30.172
NOTEARS,4,LightGBM,F,m,0.15814061244108585,0.11793371580320341,0.7652640091703604,0.03461150781179849,0.03608323445272835,25.668
NOTEARS,4,LightGBM,OF,m,0.49943808541789225,0.48245076882605026,0.9131782557820403,0.017126182615821044,0.013834006734011861,23.57
NOTEARS,4,LightGBM,F,mw,0.1661183921523563,0.11270885213929879,0.771363324662567,0.03505334062302139,0.03645941974143424,23.156
NOTEARS,4,LightGBM,OF,mw,0.5118277745982613,0.4828694377587854,0.9142778107007576,0.016967389118247307,0.014081888905728163,24.455
NOTEARS,4,LightGBM,F,m+mw,0.1638244620488143,0.10977843035524579,0.7679438334927358,0.0346155451941564,0.03495498002154107,23.666
NOTEARS,4,LightGBM,OF,m+mw,0.5065195660820796,0.4867086756234261,0.913125959760847,0.016875274871602668,0.013564484189761698,25.793
NOTEARS,5,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.57
