Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
117,0.13497223016898657,0.32739027413272026,0.04163126593033135,0.09,0.932,0.107,0.019,0.061,0.019980347199475924,0.27360059116940705,0.01,0.014367266668487614,0.008668242710795903,0
118,0.14038808708776845,0.32666676157675406,0.0433305012744265,0.106,0.934,0.098,0.017,0.053,0.017359973796265967,0.26233142434879,0.0579999999999999,0.01442686127616886,0.010582010582010583,0
119,0.1454784006944924,0.32513876548020915,0.0433305012744265,0.127,0.936,0.106,0.016,0.045,0.01473960039305601,0.2929983373360429,0.061,0.01660951378249458,0.013283800517843072,0
120,0.14752044510649212,0.32489540927015476,0.041064854148966295,0.121,0.937,0.1169999999999999,0.017,0.039,0.012774320340648543,0.33105486791058564,0.046,0.017225324728534146,0.012552065743555108,0
121,0.14812220698635678,0.3248255359399229,0.041064854148966295,0.095,0.938,0.139,0.016,0.033,0.010809040288241076,0.39682246443746544,-0.003,0.02207235281994234,0.010187999549701678,0
122,0.1469285481754777,0.3252334108148971,0.02973661852166525,0.1009999999999999,0.937,0.156,0.009,0.0279999999999999,0.009171306911234819,0.4454092000738962,-0.0279999999999999,0.045137949101238826,0.0108634470336598,0
123,0.1553630794424331,0.3231763413333351,0.008496176720475786,0.098,0.94,0.173,0.004,0.026,0.008516213560432362,0.5205985590245705,0.04,0.11269836934254733,0.0108634470336598,0
138,0.09181307894918565,0.3382089076660646,0.033701500991220615,0.102,0.903,0.172,0.025,0.009,0.002947920078611202,0.3249584334010715,-0.027,0.01839238579562526,0.009287402904424182,0
139,0.09677514822085648,0.33623075592390184,0.03256867742849051,0.096,0.907,0.213,0.025,0.071,0.023255813953488372,0.3955292813596897,-0.059,0.021920883192085835,0.008330518968816841,0
140,0.12000710276317217,0.3296631203371111,0.0002832058906825262,0.086,0.924,0.148,0.011,0.206,0.0674746151326564,0.28523923886938857,0.046,0.03426441630806439,0.007261060452549815,0
141,0.12686324221408912,0.3285483549290609,0.033418295100538085,0.099,0.928,0.156,0.025,0.215,0.07042253521126761,0.314058747459819,-0.039,0.01574539197111648,0.008105369807497468,0
142,0.13531750337874499,0.3268396770432495,0.045029736618521665,0.11,0.932,0.134,0.0289999999999999,0.238,0.07795610874549623,0.2771106595233697,0.07,0.011720272843978833,0.008555668130136217,0
143,0.14249918614171986,0.32580866665512836,0.0033984706881903144,0.114,0.935,0.118,0.017,0.283,0.09269570913855224,0.24164049510437838,0.006,0.017712014024597673,0.008837104581785434,0
